"","state","county","forecast"
"1","alabama","de kalb",0.328586612494018
"2","arizona","cochise",0.439770919577504
"3","arizona","coconino",0.43069809367259
"4","arizona","maricopa",0.437682808210735
"5","arizona","mohave",0.426494647235672
"6","arizona","navajo",0.427816680848197
"7","arizona","pima",0.432545292108556
"8","arizona","pinal",0.421849600629878
"9","arizona","yavapai",0.43251004277878
"10","arizona","yuma",0.435089696038403
"11","california","alameda",0.551486878758038
"12","california","colusa",0.512872191814663
"13","california","contra costa",0.551721728061145
"14","california","el dorado",0.540447136468357
"15","california","fresno",0.539890426861598
"16","california","imperial",0.53759483558139
"17","california","kern",0.542542120416439
"18","california","kings",0.536775061996731
"19","california","los angeles",0.550397370145173
"20","california","madera",0.528543930308504
"21","california","marin",0.55979751173111
"22","california","mendocino",0.531395137826072
"23","california","merced",0.537870292047767
"24","california","monterey",0.543635859863062
"25","california","napa",0.540956714154872
"26","california","placer",0.546296428135972
"27","california","riverside",0.544499094658485
"28","california","sacramento",0.542565923951302
"29","california","san benito",0.52198744610753
"30","california","san bernardino",0.542626536399077
"31","california","san diego",0.547419244233067
"32","california","san francisco",0.565091594749251
"33","california","san joaquin",0.542378949792552
"34","california","san luis obispo",0.542669255125701
"35","california","san mateo",0.551483004428511
"36","california","santa barbara",0.541936132457939
"37","california","santa clara",0.549951670178799
"38","california","santa cruz",0.544037220911567
"39","california","solano",0.541264766873187
"40","california","sonoma",0.541230129232759
"41","california","stanislaus",0.541041720701312
"42","california","sutter",0.539453023769786
"43","california","tulare",0.530147438909485
"44","california","tuolumne",0.526359621529851
"45","california","ventura",0.549767384104914
"46","california","yolo",0.52927921124957
"47","colorado","alamosa",0.459256148696567
"48","colorado","arapahoe",0.487076866238045
"49","colorado","boulder",0.482332331866631
"50","colorado","broomfield",0.48631749477951
"51","colorado","denver",0.478627946541991
"52","colorado","el paso",0.482585741030894
"53","colorado","la plata",0.473498834442133
"54","colorado","larimer",0.476460109199071
"55","colorado","mesa",0.474438223961598
"56","colorado","montezuma",0.463202479442077
"57","colorado","montrose",0.475847379444376
"58","colorado","pueblo",0.475901448047897
"59","colorado","weld",0.48042320642266
"60","georgia","de kalb",0.440377274284221
"61","illinois","de kalb",0.481644222866184
"62","illinois","du page",0.500094956263617
"63","indiana","bartholomew",0.368657366457964
"64","indiana","daviess",0.354296970677209
"65","indiana","de kalb",0.357487912854834
"66","indiana","dearborn",0.359645951225116
"67","indiana","dubois",0.36813634389125
"68","indiana","elkhart",0.366959547054475
"69","indiana","hendricks",0.363539331434564
"70","indiana","huntington",0.361349372766264
"71","indiana","jennings",0.355280193482798
"72","indiana","kosciusko",0.361175517764637
"73","indiana","la porte",0.366234821265457
"74","indiana","porter",0.363772672307705
"75","indiana","posey",0.356137694914615
"76","indiana","ripley",0.360637274996971
"77","indiana","rush",0.356405331072331
"78","indiana","st joseph",0.37228310173069
"79","indiana","tippecanoe",0.371069979832643
"80","indiana","vanderburgh",0.372038207800666
"81","indiana","vigo",0.370208746532023
"82","indiana","warrick",0.356315400714077
"83","indiana","whitley",0.355964695621508
"84","iowa","black hawk",0.395839108866479
"85","iowa","cerro gordo",0.393989657501264
"86","iowa","des moines",0.398516430283765
"87","iowa","dickinson",0.394001593355394
"88","iowa","dubuque",0.398449154470225
"89","iowa","linn",0.396302398465297
"90","iowa","muscatine",0.387336739687468
"91","iowa","story",0.394759582526229
"92","iowa","wapello",0.387665793068014
"93","iowa","winneshiek",0.38434376532316
"94","iowa","woodbury",0.401705231773641
"95","kentucky","barren",0.330801039472129
"96","kentucky","bell",0.327773019653506
"97","kentucky","bourbon",0.322961044966666
"98","kentucky","boyd",0.330978114279379
"99","kentucky","boyle",0.331759592177964
"100","kentucky","bullitt",0.324855345822103
"101","kentucky","calloway",0.330993228213001
"102","kentucky","daviess",0.331124795628183
"103","kentucky","fleming",0.328456336063844
"104","kentucky","graves",0.322579975318791
"105","kentucky","greenup",0.325045932080762
"106","kentucky","hopkins",0.333343774098588
"107","kentucky","jessamine",0.330912895853349
"108","kentucky","kenton",0.364875692610946
"109","kentucky","mccracken",0.334519443172917
"110","kentucky","meade",0.321502513796248
"111","kentucky","muhlenberg",0.324654648125461
"112","kentucky","oldham",0.323385147333728
"113","kentucky","simpson",0.321595595689929
"114","maryland","prince georges",0.557390056817318
"115","maryland","st marys",0.545033952575394
"116","michigan","allegan",0.430873583760272
"117","michigan","alpena",0.418001187487792
"118","michigan","arenac",0.419955412456831
"119","michigan","branch",0.42423646023193
"120","michigan","delta",0.429951063305064
"121","michigan","dickinson",0.421222591348463
"122","michigan","eaton",0.425347607618253
"123","michigan","emmet",0.429679393676166
"124","michigan","genesee",0.424439140558637
"125","michigan","grand traverse",0.430023866362287
"126","michigan","gratiot",0.42084206989953
"127","michigan","hillsdale",0.422788917263047
"128","michigan","houghton",0.424424086885399
"129","michigan","ingham",0.447271881659969
"130","michigan","isabella",0.423294920520453
"131","michigan","kalamazoo",0.437201382302152
"132","michigan","kalkaska",0.419489484325221
"133","michigan","lapeer",0.422601919555589
"134","michigan","lenawee",0.425920189091781
"135","michigan","macomb",0.430131498001656
"136","michigan","midland",0.423892633201588
"137","michigan","missaukee",0.423981815594189
"138","michigan","montcalm",0.422274955992995
"139","michigan","muskegon",0.431569832500946
"140","michigan","newaygo",0.423451609473543
"141","michigan","oakland",0.43379158972588
"142","michigan","otsego",0.42223946303475
"143","michigan","roscommon",0.421255335895628
"144","michigan","saginaw",0.424584159002473
"145","michigan","sanilac",0.42050642220047
"146","michigan","shiawassee",0.426186521833532
"147","michigan","st joseph",0.42216155858
"148","michigan","tuscola",0.425565061936916
"149","michigan","washtenaw",0.433970469083656
"150","michigan","wexford",0.423952975523608
"151","minnesota","aitkin",0.437225829270289
"152","minnesota","anoka",0.452052732059423
"153","minnesota","becker",0.443815124033562
"154","minnesota","beltrami",0.445950987468965
"155","minnesota","blue earth",0.450147489781714
"156","minnesota","carver",0.441454886690545
"157","minnesota","crow wing",0.44997736694673
"158","minnesota","dakota",0.459311885671891
"159","minnesota","fillmore",0.439385047893993
"160","minnesota","freeborn",0.443024766713602
"161","minnesota","goodhue",0.4385953815801
"162","minnesota","hennepin",0.460683841029852
"163","minnesota","hubbard",0.436809247548014
"164","minnesota","isanti",0.438463125179213
"165","minnesota","itasca",0.440467578393851
"166","minnesota","kandiyohi",0.448380399640905
"167","minnesota","lyon",0.436879021830373
"168","minnesota","mcleod",0.437911419077327
"169","minnesota","meeker",0.438064483429391
"170","minnesota","mille lacs",0.449052171662092
"171","minnesota","mower",0.444081846680683
"172","minnesota","nobles",0.437844912204738
"173","minnesota","olmsted",0.452454413468371
"174","minnesota","otter tail",0.44043438689312
"175","minnesota","pine",0.43780744002068
"176","minnesota","pipestone",0.436179713943033
"177","minnesota","redwood",0.436605716892831
"178","minnesota","rice",0.440091762874482
"179","minnesota","sherburne",0.445566203502623
"180","minnesota","st louis",0.450167904300908
"181","minnesota","stearns",0.450929970741637
"182","minnesota","wadena",0.438411838422916
"183","minnesota","winona",0.444109107190945
"184","minnesota","wright",0.44013293427187
"185","missouri","bates",0.357265513156003
"186","missouri","cape girardeau",0.373094221411347
"187","missouri","cole",0.37084295953299
"188","missouri","cooper",0.358764204881765
"189","missouri","dunklin",0.359203725110994
"190","missouri","howell",0.359431855395165
"191","missouri","laclede",0.356894778018315
"192","missouri","moniteau",0.359593677665488
"193","missouri","new madrid",0.356440011378941
"194","missouri","nodaway",0.358554262570942
"195","missouri","pettis",0.370205707599444
"196","missouri","phelps",0.368893698190102
"197","missouri","st francois",0.363522919259479
"198","missouri","st louis",0.378261637861438
"199","missouri","st louis city",0.376045346471825
"200","missouri","stoddard",0.357484659263643
"201","missouri","taney",0.359177299016193
"202","new jersey","atlantic",0.49779791024592
"203","new jersey","bergen",0.499473498888528
"204","new jersey","burlington",0.490345483816578
"205","new jersey","cape may",0.491446979582187
"206","new jersey","hudson",0.505134395466036
"207","new jersey","hunterdon",0.49623329688542
"208","new jersey","monmouth",0.494470954291083
"209","new jersey","morris",0.496674755660755
"210","new jersey","ocean",0.485195239440152
"211","new jersey","passaic",0.488317819688782
"212","new jersey","salem",0.48553093149722
"213","new york","bronx",0.524465764458206
"214","new york","broome",0.512274965337196
"215","new york","cattaraugus",0.500734560347284
"216","new york","cayuga",0.517589199009513
"217","new york","chautauqua",0.505677196562987
"218","new york","chemung",0.511076057594973
"219","new york","dutchess",0.52051732988342
"220","new york","genesee",0.505908808491483
"221","new york","herkimer",0.511978788721262
"222","new york","kings",0.526892736154376
"223","new york","new york",0.544338201539735
"224","new york","niagara",0.508219786306669
"225","new york","onondaga",0.512212554814936
"226","new york","ontario",0.507367310840844
"227","new york","oswego",0.498388385800472
"228","new york","otsego",0.517037457796478
"229","new york","queens",0.519543135728691
"230","new york","rensselaer",0.520459934799937
"231","new york","rockland",0.519068630105104
"232","new york","saratoga",0.516707073632549
"233","new york","schenectady",0.52183100554956
"234","new york","schoharie",0.496553157081064
"235","new york","st lawrence",0.503020986890979
"236","new york","steuben",0.502921237781483
"237","new york","tompkins",0.510349699807093
"238","new york","ulster",0.522998274055649
"239","new york","westchester",0.523133895983053
"240","new york","wyoming",0.494348391006732
"241","pennsylvania","allegheny",0.436566794249154
"242","pennsylvania","armstrong",0.414188575332798
"243","pennsylvania","berks",0.435831204567427
"244","pennsylvania","blair",0.435023755129956
"245","pennsylvania","bucks",0.439502790273722
"246","pennsylvania","cambria",0.434172934346786
"247","pennsylvania","centre",0.427206385760913
"248","pennsylvania","clearfield",0.427851404281327
"249","pennsylvania","dauphin",0.437888437767464
"250","pennsylvania","elk",0.419619569326814
"251","pennsylvania","huntingdon",0.420257237005364
"252","pennsylvania","indiana",0.433384461477538
"253","pennsylvania","juniata",0.417487298868267
"254","pennsylvania","lackawanna",0.434249884873973
"255","pennsylvania","lebanon",0.430256585027528
"256","pennsylvania","lehigh",0.436130365381273
"257","pennsylvania","luzerne",0.435364761206054
"258","pennsylvania","lycoming",0.435626602015038
"259","pennsylvania","mifflin",0.423772077559704
"260","pennsylvania","montour",0.4175353227155
"261","pennsylvania","philadelphia",0.440147274434367
"262","pennsylvania","schuylkill",0.416424703005154
"263","pennsylvania","snyder",0.430338103947357
"264","pennsylvania","tioga",0.421764529382619
"265","pennsylvania","venango",0.429570657664813
"266","pennsylvania","wyoming",0.41556574413074
"267","south carolina","aiken",0.38804510988083
"268","south carolina","berkeley",0.3821357963361
"269","south carolina","charleston",0.392237460981684
"270","south carolina","clarendon",0.372583738140343
"271","south carolina","edgefield",0.371174159244842
"272","south carolina","georgetown",0.376286533531307
"273","south carolina","greenville",0.391902978256652
"274","south carolina","greenwood",0.387799287236305
"275","south carolina","horry",0.383358767006872
"276","south carolina","lexington",0.386667263377346
"277","south carolina","orangeburg",0.387285208208703
"278","south carolina","spartanburg",0.392285954558593
"279","texas","andrews",0.392900350258505
"280","texas","angelina",0.416031274768918
"281","texas","atascosa",0.392881012753867
"282","texas","bastrop",0.40242739475653
"283","texas","bell",0.410150828780845
"284","texas","bexar",0.41429344258721
"285","texas","bowie",0.400172596254856
"286","texas","brazoria",0.400395428922785
"287","texas","brazos",0.415401880414192
"288","texas","burnet",0.395373855287334
"289","texas","callahan",0.392109266091359
"290","texas","collin",0.41740994367817
"291","texas","colorado",0.394367985975659
"292","texas","comal",0.400276124559509
"293","texas","cooke",0.393797772907874
"294","texas","coryell",0.395079295945069
"295","texas","denton",0.41216976645484
"296","texas","eastland",0.393450327323502
"297","texas","ector",0.403438086055268
"298","texas","el paso",0.413328166556419
"299","texas","falls",0.394328781692595
"300","texas","fort bend",0.413206332007283
"301","texas","galveston",0.409503428505455
"302","texas","gray",0.393687741147045
"303","texas","gregg",0.408033696534023
"304","texas","grimes",0.393806203992486
"305","texas","hays",0.404093673174802
"306","texas","hockley",0.392280606232836
"307","texas","hood",0.408772212971422
"308","texas","hopkins",0.392852182128275
"309","texas","hunt",0.40302791087498
"310","texas","kaufman",0.39906981527329
"311","texas","kerr",0.394919469130311
"312","texas","kleberg",0.395928376287398
"313","texas","lubbock",0.409328629697338
"314","texas","maverick",0.39642763733316
"315","texas","mclennan",0.409028464180815
"316","texas","midland",0.40844178253542
"317","texas","milam",0.394170890971358
"318","texas","montague",0.392311762516646
"319","texas","nacogdoches",0.39476580288314
"320","texas","navarro",0.404447524280405
"321","texas","nueces",0.403558251540695
"322","texas","panola",0.392901753359203
"323","texas","parker",0.409134998799148
"324","texas","potter",0.39947371704726
"325","texas","randall",0.410890757621385
"326","texas","rockwall",0.414103784796776
"327","texas","san patricio",0.395227830166897
"328","texas","scurry",0.391090380505884
"329","texas","tarrant",0.414209418331235
"330","texas","titus",0.400277429603273
"331","texas","tom green",0.403206504829159
"332","texas","travis",0.414809408996094
"333","texas","val verde",0.402125460886638
"334","texas","van zandt",0.392320737629766
"335","texas","victoria",0.41013755827059
"336","texas","webb",0.412184023492269
"337","texas","wharton",0.395092107289073
"338","texas","wichita",0.406827563025766
"339","texas","wilbarger",0.386263068782882
"340","virginia","hampton",0.464428523218869
"341","virginia","newport news",0.467575682262464
"342","virginia","virginia beach",0.469113071806051
